State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS , Volunteer Drivers , Personal Vehicles ,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
,20179,2179,"Leprechaun Lines, Inc.",HHBL,,Reduced Reporter,Urban,Provider Reporting on Behalf of a Public Entity,,,,12/31/2022,4/30/2023,100 Leprechaun Ln,,2628,New Windsor,NY,12553,6238,2,https://leprechaunlines.com/white-plains-bus-service/,1791,ELRBFVBQ33G8, 132 ," 249,175 ",71803,"Poughkeepsie--Newburgh, NY",," 314,766 "," 1,499 ", 210 , 6 ,, 6 ,,,Tier II,,,
,20182,2182,Town of Highlands ,,Town of Highlands,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,254 Main Street,,,Highland Falls,NY,10928,,2,www.highlands-ny.gov/Departments-officials/Dial-a-Bus,3152,l3DJB4XN2634, 52 ," 12,492 ",36,New York Non-UZA,," 3,425,270 ", -   , -   , 1 ,, 1 ,,,Tier II,,,
,20183,2183,Town of Monroe ,Monroe DAB,Monroe Dial A Bus,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,91 Mine Road,,,Monroe,NY,10950,,2,https://www.monroeny.org/community/dial-a-bus,3152,, 62 ," 30,486 ",45443,"Kiryas Joel, NY",," 71,582 "," 2,489 ", 29 , 5 ,, 5 ,,,Tier II,,,
,20187,2187,Village of Kiryas Joel,KJ,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,51 Forest Rd Ste 340,,566,Monroe,NY,10950,2948,2,,3152,NBYPFKZW4LT3, 12 ," 45,307 ",45443,"Kiryas Joel, NY",," 71,582 "," 2,489 ", 29 , 13 ,, 13 ,,,Tier II,,,
,20188,2188,MTA Bus Company,MTABUS,,Full Reporter,Urban,"Unit of a Transit Agency, Reporting Separately",,,,12/31/2022,4/30/2023,2 Broadway,,,New York,NY,10004,2207,2,http://www.mta.info/,1786,NXGWYMXLNW95, 244 ," 7,706,403 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 "," 1,134 ",," 1,134 ",,,Tier I (Fixed Route VOMS),,,
,20190,2190,Port Imperial Ferry Corporation,,NY Waterway,Full Reporter,Urban,Corporation,,,,12/31/2022,4/30/2023,4800 Ave At Port Imperial,,,Weehawken,NJ,7086,7142,2,http://www.nywaterway.com/,1414,HRG9ZE2LCLB9, 776 ," 3,658,455 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 36 ,, 36 ,,,Tier II,,,
,20192,2192,Bergen County,BCCT,Bergen County Community Transportation,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,1 Bergen County Plz,,,Hackensack,NJ,7601,7075,2,http://www.co.bergen.nj.us/community-transportation,1414,QNM9QFNMAMH4, 247 ," 955,732 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 47 ,, 47 ,,,Tier II,,,
,20193,2193,Cumberland County,CATS,Cumberland Area Transit System,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,164 West Broad St,,,Bridgeton,NJ,8302,2458,2,http://www.co.cumberland.nj.us/aging/CATS,1414,QDPBAPG7Z7G1, 484 ," 156,898 ",90730,"Vineland, NJ",," 87,226 "," 1,531 ", 57 , 20 ,, 20 ,,,Tier II,,,
2R01,20194,2194,East Windsor Township,EW,,Reduced Asset Reporter,Asset,County or Local Government Unit or Department of Transportation,2R01,NJ Transit,Asset Subrecipient,6/30/2022,10/31/2022,16 Lanning Blvd,,,East Windsor,NJ,8520,1925,2,http://www.east-windsor.nj.us/,1414,WPRJLDQBT521,,,,,,,,,,, -   ,,,Tier II,,,
,20195,2195,Gloucester County,DTS,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,115 Budd Blvd,,337,West Deptford,NJ,8096,3338,2,http://www.co.gloucester.nj.us/depts/h/hserv/transportation/default.asp,1414,E32HNA2ZFAM4, 337 ," 291,636 ",69076,"Philadelphia, PA--NJ--DE--MD",," 5,696,125 "," 3,001 "," 1,898 ", 22 ,, 22 ,,,Tier II,,,
2R01,20196,2196,Middlesex County,MCAT,,Reduced Asset Reporter,Asset,County or Local Government Unit or Department of Transportation,2R01,NJ Transit,Asset Subrecipient,6/30/2022,10/31/2022,75 Bayard St,,,New Brunswick,NJ,8901,2112,2,http://www.co.middlesex.nj.us/,1414,N7TRWHN87HP5,,,,,,,,,,, -   ,,,Tier II,,,
2R01,20197,2197,Meadowlands Transportation Brokerage Corporation,EZ Ride,EZ Ride,Reduced Asset Reporter,Asset,Corporation,2R01,NJ Transit,Asset Subrecipient,6/30/2022,10/31/2022,144 Park Pl E,,,Wood Ridge,NJ,7075,1804,2,http://www.ezride.org/,1414,KMNZLAEFE8X2,,,,,,,,,,, -   ,,,Tier II,,,
,20199,2199,County of Atlantic,ACTU,,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,1333 Atlantic Ave,,,Atlantic City,NJ,8401,7212,2,https://www.atlantic-county.org/intergenerational-services/transportation.asp,1414,ND41MY5HN8U5, 567 ," 263,670 ",3904,"Atlantic City--Ocean City--Villas, NJ",," 294,921 "," 1,811 ", 163 , 33 ,, 33 ,,,Tier II,,,
,20200,2200,South Jersey Transportation Authority,SJTA,,Reduced Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,512 Lakeland Rd,,,Blackwood,NJ,8012,2946,2,http://www.sjta.com/,1414,TJJCCKJFWNH4," 1,898 "," 1,525,228 ",69076,"Philadelphia, PA--NJ--DE--MD",," 5,696,125 "," 3,001 "," 1,898 ", 28 ,, 28 ,,,Tier II,,,
,20201,2201,County of Cumberland,CCET,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,164 West Broad St,,1398,Bridgeton,NJ,8302,2458,2,http://www.ccoel.org/,1414,QDPBAPG7Z7G1, 678 ," 154,152 ",90730,"Vineland, NJ",," 87,226 "," 1,531 ", 57 , 5 ,, 5 ,,,Tier II,,,
2R01,20202,2202,Essex County,Essex County,,Reduced Asset Reporter,Asset,County or Local Government Unit or Department of Transportation,2R01,NJ Transit,Asset Subrecipient,6/30/2022,10/31/2022,465 Dr Martin Luther King Jr Blvd,,,Newark,NJ,7102,1735,2,http://www.essex-countynj.org/,1414,V4M8FU2JN5T8,,,,,,,,,,, -   ,,,Tier II,,,
,20203,2203,Cape May County,,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,4 Moore Rd,DN 626,,Cape May Court House,NJ,8210,1654,2,https://capemaycountynj.gov/446/Fare-Free-Transportation,1414,HLV9S72EC8J3, 251 ," 93,553 ",3904,"Atlantic City--Ocean City--Villas, NJ",," 294,921 "," 1,811 ", 163 , 21 ,, 21 ,,,Tier II,,,
,20204,2204,"Senior Citizens United Community Services of Camden County, Inc.",SCUCS,,Full Reporter,Urban,Corporation,,,,12/31/2022,4/30/2023,537 W Nicholson Rd,,,Audubon,NJ,8106,1970,2,http://www.scucs.org/,1414,WC7TQ88KC4K1, 222 ," 508,932 ",69076,"Philadelphia, PA--NJ--DE--MD",," 5,696,125 "," 3,001 "," 1,898 ", 47 ,, 47 ,,,Tier II,,,
,20206,2206,County of Nassau,NICE,Nassau Inter County Express,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,1 West St,,,Mineola,NY,11501,4813,2,http://www.nicebus.com/,1787,GNX7NPNK9X61, 285 ," 1,357,514 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ",, 319 , 319 ,,,Tier I (Fixed Route VOMS),,,
,20208,2208,County of Burlington,BurLink,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,49 Rancocas Rd,,6000,Mount Holly,NJ,8060,1317,2,http://www.co.burlington.nj.us/,1414,FZLYHA8MK853, 833 ," 449,772 ",69076,"Philadelphia, PA--NJ--DE--MD",," 5,696,125 "," 3,001 "," 1,898 ",, 6 , 6 ,,,Tier II,,,
,20209,2209,Somerset County,SCT,Somerset County Transportation,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,20 Grove St,,3000,Somerville,NJ,8876,2306,2,https://www.co.somerset.nj.us/government/public-works/transportation,1414,XL1NHBG8L234, 305 ," 324,194 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 57 ,, 57 ,,,Tier II,,,
,20210,2210,Morris County Human Services,MAPS,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,10 Court Street,,900,Morristown,NJ,7960,900,2,http://www.co.morris.nj.us/,1414,JPYMMCKBK446, 482 ," 494,976 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 26 ,, 26 ,,,Tier II,,,
,20211,2211,County of Mercer,TRADE,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,640 S Broad St,,8068,Trenton,NJ,8611,1822,2,http://www.mercercounty.org/departments/transportation-and-infrastructure,1414,MJFYVVL8PHM5, 226 ," 367,063 ",88462,"Trenton, NJ",," 370,422 "," 2,782 ", 133 , 24 ,, 24 ,,,Tier II,,,
,20212,2212,County of Hunterdon,HCLink,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,71 Main St,,2900,Flemington,NJ,8822,1412,2,http://www.co.hunterdon.nj.us/,1414,K8HEHUFVZY15, 438 ," 128,349 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ",, 24 , 24 ,,,Tier II,,,
,20213,2213,City of Mechanicville,,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,36 N Main St ,,,Mechanicville,NY,12118,1988,2,http://www.mechanicvilleny.gov,1791,K964MQAK4771, 1 ," 5,107 ",36,New York Non-UZA,," 3,425,270 ", -   , -   , 2 ,, 2 ,,,Tier II,,,
,20214,2214,Town of Warwick ,Warwick DAB,Warwick Dial A Bus,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,132 Kings Hwy,,,Warwick,NY,10990,3115,2,https://www.townofwarwick.org/municipal-transit/,3152,NWJ7BJJ57BT3, 101 ," 32,027 ",36,New York Non-UZA,," 3,425,270 ", -   , -   , 5 ,, 5 ,,,Tier II,,,
,20215,2215,City of Watertown NY,,CitiBus,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,6/30/2022,10/31/2022,245 Washington St Ste 203,,,Watertown,NY,13601,3392,2,http://www.watertown-ny.gov/index.asp?nid=110,3154,RMYJFEWF14Z9, 17 ," 25,290 ",92674,"Watertown, NY",," 51,832 "," 1,620 ", 32 , 5 , 3 , 8 ,,,Tier II,,,
,20216,2216,Orange County,OCNY,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,255 Main St,,,Goshen,NY,10924,1601,2,https://www.ridetransitorange.com/,3152,SNT9VWCK7QQ5, 62 ," 166,160 ",71803,"Poughkeepsie--Newburgh, NY",," 314,766 "," 1,499 ", 210 ,, 12 , 12 ,,,Tier II,,,
,20217,2217,"Hampton Jitney, Inc.",,,Full Reporter,Urban,Corporation,,,,12/31/2022,4/30/2023,253 Edwards Ave,,,Calverton,NY,11933,1641,2,www.hamptonjitney.com,,DNPEHNJJJ8F5," 1,215 "," 9,908,805 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 55 ,, 55 ,,,Tier II,,,
,20219,2219,A&C Bus Corporation & Montgomery & Westside Owners Association,,,Reduced Reporter,Urban,Corporation,,,,12/31/2022,4/30/2023,430 Danforth Avenue,,,Jersey City,NJ,7305,,2,http://www.acbuscorp.com/,1414,, 13 ," 258,523 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 27 ,, 27 ,,,Tier II,,,
,20220,2220,Broadway Bus Corporation,,,Reduced Reporter,Urban,Corporation,,,,12/31/2022,4/30/2023,1329 Kennedy Blvd.,,,Bayonne,NJ,7002,,2,,1414,, 7 ," 100,344 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 8 ,, 8 ,,,Tier II,,,
,20223,,Cape May Lewes Ferry,,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,295 & New Castle Ave,,827,New Castle,DE,19720,,2,http://www.cmlf.com/,7363,G7JDKRCKKHH8," 1,187 "," 332,641 ",3904,"Atlantic City--Ocean City--Villas, NJ",," 294,921 "," 1,811 ", 163 , 3 ,, 3 ,,,Tier II,,,
,20226,,"SeaStreak, LLC",,,Full Reporter,Urban,Corporation,,,,12/31/2022,4/30/2023,2 First Ave.,,,Atlantic Highlands,NJ,7716,,2,www.seastreak.com,1414,, 776 ," 3,658,455 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 7 ,, 7 ,,,Tier II,,,
,20227,,Town of Wallkill,Wallkill DAB,,Reduced Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,99 Tower Dr Bldg A,,,Middletown,NY,10941,,2,https://www.townofwallkill.com/community/transportation,3152,, 62 ," 30,743 ",56899,"Middletown, NY",," 61,516 "," 2,370 ", 26 , 5 ,, 5 ,,,Tier II,,,
,20228,,"Enterprise Holdings, LLC",,,Full Reporter,Urban,Provider Reporting on Behalf of a Public Entity,,,,7/31/2022,1/31/2023,115 West Fayette Street,,,Syracuse,NY,13202,,2,https://www.commutewithenterprise.com/commute/en/partners/Syracuse.html,,, 300 ," 500,000 ",86302,"Syracuse, NY",," 413,660 "," 2,291 ", 181 ,, 1 , 1 ,,,Tier II,,,
2R01,20924,2R01-026,"Academy Lines, LLC",,,Rural Reporter,Rural,Corporation,2R01,NJ Transit,Intercity Bus,6/30/2022,10/31/2022,111 Paterson Ave,,,Hoboken,NJ,7030,6012,2,http://www.academybus.com,1414,XM6XCSB2MAM6,,,,,,,,,,, -   ,,,Tier II,,,
2R02,20925,2R02-072,Lewis County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,7660 N State St,,,Lowville,NY,13367,1328,2,https://www.lewiscounty.org/public-transportation,,L1P1GXWJAWY3,,,,,,,,,, 11 , 11 , -   , -   ,Tier II,,,
2R02,20926,2R02-039,Schoharie County Public Transportation,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,284 Main St,,,Schoharie,NY,12157,2120,2,ridescpt.com,,FFJ4KT6JCFM3,,,,,,,,,, 8 , 8 , -   , -   ,Tier II,,,
2R01,20928,2R01-014,Warren County,WCT,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R01,NJ Transit,Rural General Public Transit,6/30/2022,10/31/2022,165 County Road 519,,,Belvidere,NJ,7823,1927,2,http://co.warren.nj.us/humanservices,1414,PJL3FJQ3WMB1, 149 ," 386,046 ",,,,,,,, 19 , 19 , -   , -   ,Tier II,,,
2R02,20931,2R02-029,Greene County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,411 Main St,,,Catskill,NY,12414,1363,2,http://www.greenegovernment.com/,,R8SFBJD9L4P9,,,,,,,,,, 9 , 9 , -   , -   ,Tier II,,,
2R02,20932,2R02-014,Essex County Department of Community Development,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,7551 Court St,,,Elizabethtown,NY,12932,2117,2,http://www.co.essex.ny.us/,,T6HGWWYEQ8M5,,,,,,,,, 11 ,, 11 , -   , -   ,Tier II,,,
2R01,20933,2R01-009,Monmouth County Division of Transportation,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R01,NJ Transit,Rural General Public Transit,6/30/2022,10/31/2022,1 E Main St,,,Freehold,NJ,7728,2273,2,http://www.visitmonmouth.com,1414,NH1QAMLD7838, 222 ," 508,932 ",63217,"New York--Jersey City--Newark, NY--NJ",," 19,426,449 "," 5,981 "," 3,248 ", 10 ,, 10 , -   , -   ,Tier II,,,
2R02,20934,2R02-034,Orleans Transit Service,,,Rural Reporter,Rural,Public Agency or Authority of Transit Service,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,14016 State Route 31 Ste 201,,,Albion,NY,14411,9382,2,www.myrts.com,,LAGMV48LAMZ3,,,,,,,,, 6 ,, 6 , -   , -   ,Tier II,,,
2R02,20935,2R02-017,Chenango County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,5 Court St,,,Norwich,NY,13815,1695,2,http://www.co.chenango.ny.us,,FMELEELQYJ23,,,,,,,,, 18 ,, 18 , -   , -   ,Tier II,,,
2R02,20937,2R02-042,Sullivan County Transportation,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,100 North St,,,Monticello,NY,12701,1163,2,http://www.co.sullivan.ny.gov,,GDF2HNKKJBZ4,,,,,,,,, 2 , 8 , 10 , -   , -   ,Tier II,,,
2R02,20938,2R02-016,RTS Seneca ,,,Rural Reporter,Rural,Public Agency or Authority of Transit Service,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,1372 E Main St,,,Rochester,NY,14609,6912,2,http://www.rgrta.com,,GWY1RZCV7BE5,,,,,,,,, 5 ,, 5 , -   , -   ,Tier II,,,
2R02,20939,2R02-018,Clinton County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,137 Margaret St,SUITE 208,,Plattsburgh,NY,12901,3900,2,http://www.clintoncountypublictransit.com/,,KN6CTJ3EE4L6,,,,,,,,, 8 ,, 8 , -   , -   ,Tier II,,,
2R02,20940,2R02-056,Madison County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,North Court St, Wampsville,,Wampsville,NY,13163,0,2,http://www.ridemts.org,,R3TAXFFBEL84,,,,,,,,,, 7 , 7 , -   , -   ,Tier II,,,
2R02,20941,2R02-019,City of Corning,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,500 Nasser Civic Center Plz,STE 10,,Corning,NY,14830,2847,2,http://www.rideceats.com,,VXJ7LAGGFQ33,,,,,,,,,, 5 , 5 , -   , -   ,Tier II,,,
2R02,20942,2R02-035,Oswego County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,70 Bunner St,,,Oswego,NY,13126,3357,2,http://www.oco.org,,HHAKKG4U2EM9,,,,,,,,,, 8 , 8 , -   , -   ,Tier II,,,
2R01,20944,2R01-015,Salem County,,,Rural Reporter,Rural,Agency on Aging,2R01,NJ Transit,Rural General Public Transit,6/30/2022,10/31/2022,94 Market St,,,Salem,NJ,8079,1914,2,http://www.salemco.org,1414,WSKHZBPK8LX5, 567 ," 253,000 ",,,,,,,, 15 , 15 , -   , -   ,Tier II,,,
2R02,20945,2R02-073,Schuyler County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,105 9Th St Unit 6,,,Watkins Glen,NY,14891,1435,2,http://www.schuylercounty.us,,H1RSPNF8AM84,,,,,,,,,, 7 , 7 , -   , -   ,Tier II,,,
2R02,20946,2R02-022,First Transit - Steuben,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,1201 Clemens Center Parkway,,,Elmira,NY,14901,,2,http://ridesteuben.com/,,,,,,,,,,,, 2 , 2 , -   , -   ,Tier II,,,
2R02,20947,2R02-058,RTS Genesee,,,Rural Reporter,Rural,Public Agency or Authority of Transit Service,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,1372 E Main St,,,Rochester,NY,14609,6912,2,www.myrts.com,,GWY1RZCV7BE5,,,,,,,,, 10 ,, 10 , -   , -   ,Tier II,,,
2R01,20950,2R01-013,Sussex County Transit,Skylands Ride,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R01,NJ Transit,Rural General Public Transit,6/30/2022,10/31/2022,1 Spring St,,,Newton,NJ,7860,2070,2,http://www.sussex.nj.us/,1414,LDQJU7HR8S86, 251 ," 96,304 ",,,,,,, 24 ,, 24 , -   , -   ,Tier II,,,
2R02,20951,2R02-015,Allegany County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,7 Court St,,,Belmont,NY,14813,1044,2,http://www.alleganyco.com,,KJXYJKV4XLJ7,,,,,,,,,, 6 , 6 , -   , -   ,Tier II,,,
2R02,20952,2R02-057,Montgomery County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,20 Park St,,1500,Fonda,NY,12068,4830,2,www.co.montgomery.ny.us,,U797H3MXZX46,,,,,,,,,, 5 , 5 , -   , -   ,Tier II,,,
2R02,20953,2R02-026,Hornell Area Transit,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,82 Main St,,,Hornell,NY,14843,1527,2,http://www.hatrides.com/,,E44BJQ9F25D6,,,,,,,,, 11 ,, 11 , -   , -   ,Tier II,,,
2R02,20954,2R02-044,Town of Goshen,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,124 Main St,,,Goshen,NY,10924,,2,http://www.orangecountygov.com,,,,,,,,,,, 2 ,, 2 , -   , -   ,Tier II,,,
2R02,20957,2R02-031,County of Niagara,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,175 Hawley St,,,Lockport,NY,14094,2740,2,www.niagaracounty.com,,ULXXHCTNUNW3,,,,,,,,,, 4 , 4 , -   , -   ,Tier II,,,
2R02,20958,2R02-055,Cortland County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,60 Central Avenue,,,Cortland,NY,13045,,2,www.cortland-co.org,,, 114 ," 14,827 ",,,,,,,, 16 , 16 , -   , -   ,Tier II,,,
2R02,20959,2R02-010,Chautauqua County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,3 N Erie St,,,Mayville,NY,14757,1007,2,http://chautauqua.ny.us/799/CARTS,,WVHFEHJBFBN6, 142 ," 50,269 ",,,,,,, 25 ,, 25 , -   , -   ,Tier II,,,
2R02,20960,2R02-053,City of Oneonta,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,258 Main St,,,Oneonta,NY,13820,2546,2,http://www.oneonta.ny.us,,FLYNJNYV2163,,,,,,,,, 14 ,, 14 , -   , -   ,Tier II,,,
2R02,20962,2R02-030,RTS Livingston ,,,Rural Reporter,Rural,Public Agency or Authority of Transit Service,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,1372 E Main St,,,Rochester,NY,14609,6912,2,www.myrts.com,,GWY1RZCV7BE5, 293 ," 694,394 ",,,,,,, 13 ,, 13 , -   , -   ,Tier II,,,
2R02,20964,2R02-028,Fulton County,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,223 W Main St,,,Johnstown,NY,12095,2309,2,https://www.browncoach.com/commuters,,HLG7K6PKY188,,,,,,,,,, 1 , 1 , -   , -   ,Tier II,,,
2R02,20967,2R02-020,RTS Ontario,,,Rural Reporter,Rural,Public Agency or Authority of Transit Service,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,1372 E Main St,,,Rochester,NY,14609,6912,2,www.co.ontario.ny.us,,GWY1RZCV7BE5, 407 ," 981,771 ",,,,,,, 21 ,, 21 , -   , -   ,Tier II,,,
2R02,20968,2R02-037,County of Rensselaer,,Rensselaer County Planning Department,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,99 Troy Rd,,,East Greenbush,NY,12061,1027,2,www.rensco.com,,KN8QNKNL4NM9, 175 ," 351,997 ",,,,,,,, 1 , 1 , -   , -   ,Tier II,,,
2R02,20969,2R02-075,Intercity - Adirondack Trailways,,,Rural Reporter,Rural,Corporation,2R02,New York Department of Transportation,Intercity Bus,12/31/2022,4/30/2023,499 Hurley Ave,,,Hurley,NY,12443,5119,2,http://www.trailwaysny.com,,NZE3T6LWLDP3,,,,,,,,,,, -   ,,,Tier II,,,
2R02,20971,2R02-077,Intercity - Chenango Valley Bus Lines,,,Rural Reporter,Rural,Corporation,2R02,New York Department of Transportation,Intercity Bus,12/31/2022,4/30/2023,81 Chenango St,,,Binghamton,NY,13901,2803,2,http://www.coachusa.com/shortline/,,NNGCHJAGZA31, 692 ," 78,823 ",,,,,,,,, -   ,,,Tier II,,,
2R02,20973,2R02-046,Town of Montgomery,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,110 Bracken Road,,,Montgomery,NY,12549,,2,www.townofmontgomery.com,,, 510 ," 641,357 ",,,,,,, 3 ,, 3 , -   , -   ,Tier II,,,
2R02,20974,2R02-078,Intercity - First Transit (NCE),,,Rural Reporter,Rural,Corporation,2R02,New York Department of Transportation,Intercity Bus,12/31/2022,4/30/2023,226 Arizona Ave,,,Plattsburgh,NY,12903,,2,http://www.northcountryexpress.com/,,,,,,,,,,,,, -   ,,,Tier II,,,
2R02,20975,2R02-061,First Transit-Olean,,,Rural Reporter,Rural,County or Local Government Unit or Department of Transportation,2R02,New York Department of Transportation,Rural General Public Transit,12/31/2022,4/30/2023,23 Woodruff Street,,,Hudsonville,NY,14727,,2,www.firsttransit.com,,," 1,124 "," 181,670 ",,,,,,, 5 ,, 5 , -   , -   ,Tier II,,,
